id,track,format,type,session_code,session_name,duration,presence,title,authors,abstract,paper_url,video_url,slides_url,image_url,image_credit,problems,location
68,paper,oral,short,papers-1,Collective and Embodied,5,remote,Between Garment and Prosthesis:  The Design of an E-Textile Musical Interface,Qiaosheng Lyu; Ryo Ikeshiro,"This paper presents Noisy Flesh, an e-textile musical interface designed to control sound through body movement in performance. Unlike traditional wearable interfaces that function as garments, this work reimagines the textile interface as a prosthetic extension that augments the performer’s body. The paper discusses both the design of the interface and its sonification method, emphasising how the flexibility of e-textiles can transform bodily movement and shape interactive experiences. This work explores the potential of e-textile interfaces to challenge conventional notions of wearability and embodiment in performance.",nime2025_68.pdf,,,68.jpg,,,
78,paper,oral,long,papers-1,Collective and Embodied,15,remote,Towards Neurodiverse Sensemaking: Pluralizing Agency in Wearable Music and Participatory Workshopping,Seth Thorn; Anani Vasquez; Corey Reutlinger; Margarita Pivovarova; Mirka Koro,"We, a team of teachers and researchers, share examples of collectively playable instruments that challenge normative assumptions about intention and agency in digital musical instruments. These instruments enliven neurodiverse sensemaking in participatory design and STEAM learning. Through a multiyear research-practice partnership (RPP), we collaborated with teaching fellows to co-design a curriculum for neurodiverse middle school students that activates computational thinking (CT). This collaboration led to a web-based, quasi-modular interface connected to wearable music sensors. We situate our work within the growing literature on participatory design of collaborative accessible digital musical instruments (CADMIs). We describe how our co-design methods address the complex demands of ecosystemic thinking, sensitive to the varied entanglements that complicate traditional human-computer interaction (HCI) design and evaluation methods. Our pedagogical and methodological approach diverges from deficit-focused strategies that aim to develop neurotypical communication skills in neurodivergent individuals. Instead, we promote cross-neurotype collaboration without presuming a single mode of ""correct"" communication. Furthermore, we surface the potential of CADMIs by linking this notion to a pluralization of agency that extends beyond one-to-one body-sensor relationships. We develop accessible instruments within neurodiversity and autism contexts, avoiding reification of mindbody relations and recognizing them as dynamic, field-like, and embedded in facilitative relations for these communities.",nime2025_78.pdf,,,78.jpg,,,
138,paper,oral,long,papers-1,Collective and Embodied,15,in person,Visually-Led Design for Gestural Audiovisual Instruments,Sam Trolland; Alon Ilsar; Jon McCormack,"In this paper we present our visually-led design method for creating gestural mappings in a new audiovisual percussion work titled Cymbalism. Unlike most audiovisual works, Cymbalism was inspired by the creation of a series of interactive visual scenes that respond to the performer’s real-time movements. In leading with the visual interaction, we discuss how this approach fostered a union between the physical, audio and visual elements of the work, creating a performance where the visualisation is not simply a feedback mechanism but fundamental in inspiring compositional concepts and new ways of interacting with sound. Through practice-based research, we use the insights gained through creative development and performance outcomes to guide the continued evolution of an established wearable gestural DMI.",nime2025_138.pdf,,,138.jpg,,,
279,paper,oral,medium,papers-1,Collective and Embodied,10,remote,Hyperwilding: Sonic Perplexity as Urban Acupuncture to Promote Environmental Kinship,Shomit Barua,"This paper invites discussion of how sound art installations, specifically those situated in urban environments, can serve as respite from urban stressors as well as advocate for increased awareness and engagement of acoustic ecology. The author invokes the theoretical framework of Karen Barad to juxtapose the Urban Acupuncture movement with the Solarpunk ethos, arguing that sound installations may be crafted as agential cuts to the entangled relationship of humans and their built environments. This paper surveys sound artists that have specifically engaged the urban space—an environment that one could argue is more “natural” to humans than the remote picturesque landscapes commonly associated with the concept. Finally, the author describes some of his past sonic interventions and expounds on his current project, “Standing Wave,” commissioned by the city government and non-profits to address Extreme Urban Heat. He discusses how this installation, coupled with targeted community engagement through “Environmental Listening” workshops, urges us to rethink the temporality of intervention, recognizing that long-term strategies, while not immediate solutions, are crucial for future cooling and remediating the effects of climate change.",nime2025_279.pdf,,,279.jpg,,,
323,paper,oral,long,papers-1,Collective and Embodied,15,in person,Drawing Space with Rain: The Umbrella as a Flow Interface,Kana Yamaguchi; Yuga Tsukuda; Yoichi Ochiai,"This study explores new possibilities for transforming perceived space by using an umbrella as a dynamic spatial auditory interface. While spatial audio technologies have been widely applied across various domains, there are few opportunities in daily life to consciously perceive the boundary between personal and external space. Due to its physical structure and everyday usage, the umbrella has a unique ability to render such boundaries perceptible. Focusing on the “flow” of raindrops across the umbrella’s surface, the system detects continuous rain movement in real time rather than merely capturing impact sounds. Spatial auditory feedback encourages users to actively perceive dynamic spatial boundaries, as the rain draws auditory contours through interaction with the umbrella. To this end, the umbrella is conceptualized as an interactive interface that senses raindrop movement and applies spatial audio processing. In addition, users can dynamically alter the virtual size of the umbrella, enabling perceptual shifts in spatial scale. Rather than treating the umbrella as a mere protective object, this system reimagines it as a medium for perceiving environmental change through sound. By integrating natural phenomena with spatial audio, this approach suggests new directions for embodied perception and expression.",nime2025_323.pdf,,,323.jpg,,,
50,paper,oral,long,papers-2,Novel Techniques and Technologies,15,in person,Drum Modal Feedback: Concept Design of an Augmented Percussion Instrument,Lewis Wolstanholme; Jordie Shier; Rodrigo Constanzo; Andrew McPherson,"We here outline the concept design of an augmented percussion instrument, conceived for and used as part of a variety of distinct performances and compositions. Throughout the curation of this project, each creative act has enabled us to contextualise, examine and reflect upon the design of this augmented instrument. In accordance with Stolterman and Wiberg’s concept driven design methodology, we do not present a singular instrument design, but instead an overarching design concept alongside its developmental and evaluative narrative. This augmentation centres upon the use of a drum trigger and a tactile transducer, which when coupled together can be used to feedback or resonate a drum. The resultant soundworld develops upon the idiomatic sonority of a drum, and allows for the duration and timbre of a drum strike to be continuously manipulated and shaped throughout a performance. In exploring the soundworld which results from this approach, we have experimented with numerous configurations of these pieces of hardware, and have also employed various pieces of software to parametrise the sonic subtleties that this approach engenders. Most prominently, we have developed a bespoke piece of software which analyses the modes of a drum prior to performance, and uses this modal analysis to shape the overall feedback and resonance. Throughout this design process, we have consistently been met with new creative criteria that challenge our approach and ideas, in response to the particularities of the musicians we are working alongside, as well as the performative and aesthetic environments we are working within.",nime2025_50.pdf,,,50.jpg,,,
115,paper,oral,medium,papers-2,Novel Techniques and Technologies,10,in person,"Evolving the Living Looper: Artistic Research, Online Learning, and Tentacle Pendula",Victor Shepardson; Halla Steinunn Stefánsdóttir; Thor Magnusson,"The Living Looper is a neural audio synthesis looper system for live input. It combines online learning with pre-trained neural network models to resynthesize incoming audio into ""living loops"" that transform over time. This paper describes new features of the Living Looper and musician perspectives on its use. A new graphical interface facilitates use of the instrument by non-programmers and visualizes each loop to aid performers in tracking which loop is making which sound.  We also describe a new living loop algorithm including incremental learning with partial least squares regression. Finally, we report on an artistic project using the Looper and lessons learned, resulting in an increased importance of training data and a developing sense of relationality.",nime2025_115.pdf,,,115.jpg,,,
147,paper,oral,long,papers-2,Novel Techniques and Technologies,15,in person,Audiation Development System for Gugak's Fluid Musical Parameters Utilizing Audio Feedback Stimuli,Michaella Moon; Dale Carnegie; Jim Murphy,"Gugak, the traditional music of Korea, is defined by its distinctive musical characteristics, including flexible tuning, non-metric rhythms, and intricate ornamentation. These unique features, while artistically rich, pose significant challenges for novice learners, particularly when approached through conventional, textbook-based methods. To bridge this gap, we introduce the Audiation Development System for Gugak, an interactive platform that leverages algorithmic analysis to support both learning and teaching. Central to this system is the development of signal processing functions for rhythmic guidance, pitch detection, and additive harmonic synthesis—algorithms specifically designed to capture the expressive nuances of Gugak. These functions generate real-time auditory and visual feedback, providing a responsive learning environment aligned with the updated Korean music curriculum. The system not only enables student-centred exploration of Gugak's fluid structures but also supports educators through dynamic, visualized feedback tools. Beyond its technical foundation, this research sets the stage for future development of user interfaces and investigates the educational efficacy of computer-driven learning compared to traditional methods. By integrating music technology and pedagogy, this work contributes to both the accessibility and sustainability of Korea’s musical heritage.",nime2025_147.pdf,,,147.jpg,,,
161,paper,oral,short,papers-2,Novel Techniques and Technologies,5,in person,Threading the Sound: The Carpet Tufting Gun as an Electroacoustic Performance Interface,Joseph Burgess; Toby Gifford,"This paper explores the carpet tufting gun as a novel electroacoustic performance interface. Leveraging its distinctive acoustic properties and electromechanical kinetics, the tufting gun presents a range of physical affordances that can be creatively repurposed for musical expression. While prior intersections between textile production processes and musical practices exist, the tufting gun remains largely underexplored as a tool for structured musical composition. This work reimagines the gun’s mechanical gestures and performative affordances, transforming its utilitarian motions into expressive sonic gestures. By positioning the tufting gun as both an acoustic source and an interactive performance interface, this project works at the intersection of fibre craft and experimental sound art, where both historico-cultural context of textile making, and the ergonomics of the gun, present musical affordances.",nime2025_161.pdf,,,161.jpg,,,
198,paper,oral,long,papers-2,Novel Techniques and Technologies,15,in person,Designing Percussive Timbre Remappings: Negotiating Audio Representations and Evolving Parameter Spaces,Jordan Shier; Rodrigo Constanzo; Charalampos Saitis; Andrew Robertson; Andrew McPherson,"Timbre remapping is an approach to audio-to-synthesizer parameter mapping that aims to transfer timbral expressions from a source instrument onto synthesizer controls. This process is complicated by the ill-defined nature of timbre and the complex relationship between synthesizer parameters and their sonic output. In this work, we focus on real-time timbre remapping with percussion instruments, combining technical development with practice-based methods to address these challenges. As a technical contribution, we introduce a genetic algorithm -- applicable to black-box synthesizers including VSTs and modular synthesizers -- to generate datasets of synthesizer presets that vary according to target timbres. Additionally, we propose a neural network-based approach to predict control features from short onset windows, enabling low-latency performance and feature-based control. Our technical development is grounded in musical practice, demonstrating how iterative and collaborative processes can yield insights into open-ended challenges in DMI design. Experiments on various audio representations uncover meaningful insights into timbre remapping by coupling data-driven design with practice-based reflection. This work is accompanied by an annotated portfolio, presenting a series of musical performances and experiments with reflections.",nime2025_198.pdf,,,198.jpg,,,
