id,track,format,type,session_code,session_name,duration,presence,title,authors,abstract,paper_url,video_url,slides_url,image_url,image_credit,problems,location
8,paper,poster,short,posters-1,,5,remote,Eco-Sonic Interfaces for Embodied AI Sound Exploration,Sabina Hyoju Ahn; Ryan Millett; Seyeon Park,"Neural Tides is a neural network-based granular synthesizer that examines plastiglomerates—hybrid formations of plastic and organic material in marine environments. The system maps sound grains from oceanic field recordings to a navigable latent space using autoencoders and clustering techniques, controlled via hand gestures and touch. This interface physically connects performers with sonic representations of anthropogenic material transformations in coastal environments.",nime2025_8.pdf,,,8.jpg,,registration,
187,paper,oral,medium,,,10,in person,Designing Sensory NIME for Autism,Aditya Arora; Erica Tandori; James Marshall; Stuart Favilla,"This paper explores how sensory NIME design principles may inform the design of musical interfaces tailored for children with Autism Spectrum Disorder (ASD), focusing on their sensory processing challenges. Given the prevalence of sensory over-responsivity (SOR) and under-responsivity (SUR) in ASD, traditional sensory interventions often fail to accommodate the highly individualized and fluctuating sensory needs of autistic individuals. The authors highlight the potential for multisensory NIME to address the diverse range of sensory needs, promoting emotional regulation and sensory balance through new creative musical opportunities and activities. This paper presents research in the form of a narrative review and comparative case study of recent NIME and sensory intervention research, exploring emerging approaches, rhythm-based interventions, generative algorithms, play-centered designs and other possibilities for enhancing sensory engagement and emotional regulation. Drawing on insights from 30 recent NIME papers, this research explores the boundaries of current approaches and seeks to establish an understanding of multisensory NIME for ASD. The research underscores the profound variability in sensory profiles for ASD, necessitating a shift from clinician-directed interventions to creative, inclusive, multisensory solutions. Finally, a set of sensory NIME design principles are offered, emphasizing the importance of sensory perception, sensory equilibrium and the promotion of emotional regulation for ASD.",nime2025_187.pdf,,,187.jpg,,registration,
141,music,Installation,,,,N/A*,Remote,"break me, genAI",Mayank Sanganeria; Kurt Werner,"This paper presents ""break me, generative ai,"" an audiovisual artwork exploring the intersection of human perception and artificial intelligence in music visualization. The work addresses limitations in current Music Information Retrieval (MIR) approaches by implementing a novel multilayered system that combines hand-drawn MIDI parameter curves, procedurally generated visuals inspired by synesthetic artists, and various AI transformation processes including StyleGAN, Stable Diffusion, and AnimateDiff. By preserving artistic intent throughout the generation process while leveraging AI capabilities, the system creates visuals that better reflect the complex, context-dependent nature of musical perception. The resulting artwork serves as both a technical demonstration and an artistic exploration of human-AI collaboration, challenging viewers to consider questions of authorship, perception, and the preservation of artistic intent in AI-processed creative works. This approach offers new possibilities for the creation of audiovisual art that bridge the gap between purely automated systems and traditional human-driven approaches.",nime2025_141.pdf,,,141.jpg,,cr,
199,music,Installation,,,,N/A*,In person,FlowState,Scott Smallwood; Marilene Oliver; Daniel Evans,"FlowState is a virtual reality (VR) installation inspired by one of several dozen ancient Celtic baths in the Brittany region of France, built by Bretons in the 3-5th centuries. These baths were believed to be places of healing, often of very specific ailments, and were part of a larger culture of water as a healing agent. In our piece, the visitor initially encounters a field of particles, a point cloud outlining the bath structure in an empty black space (see fig. 1). As the visitor explores the area, moving arms in swim-like strokes causes interaction with the soundscape, including the addition of water sounds, and eventually leading to the particles resolving into a more realistic conception of the space, via lidar scans, 360-degree video, and sound recorded on the actual site of the fountain.",nime2025_199.pdf,,,199.jpg,,cr,
89,music,Live Performance,,,,10,In person,Housework Commons: Textile Rhetorics II,Jocelyn Ho,"Housework Commons, a feminist activist project under the Women’s Labor initiative, transforms domestic tools into Embedded Acoustic Instruments (EAIs) using sensor technologies. It reimagines unpaid, undervalued domestic labor—traditionally private—as a shared act of activism, addressing global gender inequality in domestic work through public engagement with gendered objects.
Housework Commons includes two custom instruments:
1.	Embedded Iron v.3, based on an early-20th-century ironing board and iron, uses machine learning and sensors to alter pitch based on the iron’s position and sound quality (timbre) depending on fabric color and texture. The board acts as a resonator with a transducer and speaker.
2.	Rheostat Rotary Rack, inspired by a rotary dryer, features rheostats, a rotary encoder, and an 8-speaker base. Hanging clothing triggers pitches based on weight, while rotating the rack by hand or wind adds select frequencies.

The performance of new composition, Textile Rhetorics II for two performers, will feature Embedded Iron and Rheostat Rotary Rack with other objects from the domestic sphere. Central to Textile Rhetorics are woven textile scores and fabric banners that contain living testimonies from women. These testimonies were collected during a past workshop with a mothers’ group, and additional banners will be created during the proposed NIME workshop (separate application). These create a “living archive” installation, a dynamic site where the performance unfolds.
",nime2025_89.pdf,,,89.jpg,,registration,
130,music,Live Performance,,,,15,In person,"The Chromaplane, an Analog Electromagnetic Synthesizer",Nicoletta Favari; Christopher Salvito,"The Chromaplane is an instrument that lives in that hidden electromagnetic world, but with an intentional musicality. It is played using two electromagnetic pickup coils, which are used to listen to a cloud of electromagnetic fields produced by the instrument. The fields are laid out in an isomorphic pattern and identified by small dots on the instrument’s surface. Making use of the Chromaplane  and other electronic devices, this 10 minute long musical performance highlights the instrument’s capabilities in a performance context.",nime2025_130.pdf,,,130.jpg,,registration,
158,music,Installation,,,,N/A*,In person,Bending Nature: An Architectural Sound Installation Exploring the Resonance of Architectural Texture and Natural Sound,Han Xu; Zehao Wang,"Bending Nature is an architectural sound installation situated in a confined, irregular space. By repurposing part of the raw speakers as microphones and surface transducers placed directly on the walls activate the architectural texture, the work merges natural sounds with feedback loops and creates a resonant dialogue between the building and its environment. Through a visually minimalist presentation, viewers are immersed in a dynamic, ever-changing soundscape that challenges spatial perception and offers a novel sensory experience of sound and structure.",nime2025_158.pdf,,,158.jpg,,registration,
182,music,Live Performance,,,,20,In person,"My sunset is your sunrise, yet we touch",Dirk Stromberg; Jocelyn  Ho; MIchal Seta,"In “My sunset is your sunrise, yet we touch,” we propose a three-way hybrid-telematic improvisation, by three displaced musicians, featuring 2 DMIs, and an acoustic-prepared piano. The musicians are located in Montreal, Singapore and Canberra at the NIME conference. This performance explores the concept of a multimedia meta-instrument, a collaborative process that integrates audio, video, projection, and lighting into a cohesive whole. The meta-instrument redefines presence and interaction, challenging traditional notions tied to physical co-location. Our approach draws on Karen Barad’s concept of touch as an entangled, relational act. Here, touch extends beyond the physical to encompass the mediated interplay of sound, visuals, gestures, and light across networked spaces. In this environment, the tactility of capacitive keys, the resonances of the prepared piano, and the shifting gestural logic of controller-based sound art merge into a dynamic, co-constitutive system. This telematic improvisation demonstrates how the tactile interactions with instruments, the resonances of sound, and the dynamic interplay of light and video create new forms of connectivity and shared expression across a blurring of physical and virtual spaces. Through this meta-instrument, we aim to push the boundaries of telematic collaboration and artistic interaction.
",nime2025_182.pdf,,,182.jpg,,registration,
307,music,Live Performance,,,,7,In person,Gaia is hanging by a thread...,Taurin Barrera,"Gaia is hanging by a thread... is an interactive audiovisual performance that explores the delicate balance between technology, humanity, and our planet’s ecosystem. This approximately 6-minute performance aligns primarily with solarpunk aesthetics, offering a critical contemplation of electronic art, sustainability, and collective eco-consciousness through audience interaction and connection.

At the heart of this performance is the Solar Punk Console, a solar-powered capacitive synthesizer that embodies the solarpunk ethos of sustainable technology and community interconnectedness. This synthesizer not only harnesses solar energy but also invites audience participation, as conductive threads connected to the Solar Punk Console’s synthesis control inputs are deployed into the audience during performance. Participants are encouraged to hold, manipulate, or pass these threads, forming a complex electronic circuit within the performance venue. This interaction directly impacts both the audio output and the visual atmosphere of the performance space using audiovisual processing software created in Max. This piece utilizes feedback in both audio and visual systems to blur the lines between performer, audience, and environment, as collective actions of the audience shape a interwoven synesthetic sensory experience in real-time.",nime2025_307.pdf,,,307.jpg,,registration,
7,music,Live Performance,,,,6,In person,Live Microtonal Performance,Amanda Cole,"I will compose and perform a new microtonal work for Lumatone keyboard, iPad ensemble and tuned metallic bars (Tubophone) made by a Canberra based percussionist. I will play the Lumatone MIDI keyboard part using my own Lumatone (isomorphic microtonal keyboard with coloured hexagonal keys). The Lumatone will use an original mapping of a 48 note to the octave 7-limit just intonation scale. The iPad ensemble will be 'Touchscreen Ensemble', which is an ANU students ensemble coordinated by Charles Martin.  This ensemble piece will explore harmonies, melodies and textures in just intonation tuning played on new interfaces for musical expression.",nime2025_7.pdf,,,7.jpg,,"registration, cr",
